"Rk","Player","Pos","G","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Y.A","AY.A","Y.C","Y.G","Rate","Awards","Team","Year"
1,"Haaziq Daniels","QB",13,40,83,48.2,836,7,8.4,2,2.4,10.1,10.67,20.9,64.3,155.8,NA,"air-force",2022
2,"Ben Brittain","QB",5,1,2,50,80,1,50,0,0,40,50,80,16,551,NA,"air-force",2022
3,"Jensen Jones","QB",7,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"air-force",2022
1,"Demarcus Irons Jr.","QB",10,253,379,66.8,2606,10,2.6,7,1.8,6.9,6.57,10.3,260.6,129.5,NA,"akron",2022
2,"Jeff Undercuffler","QB",7,70,120,58.3,791,5,4.2,5,4.2,6.6,5.55,11.3,113,119.1,NA,"akron",2022
3,"Ryan Jankowski","QB",2,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"akron",2022
1,"Dylan Hopkins","QB",11,136,215,63.3,1913,10,4.7,4,1.9,8.9,8.99,14.1,173.9,149.6,NA,"alabama-birmingham",2022
2,"Jacob Zeno","QB",9,58,102,56.9,721,5,4.9,3,2.9,7.1,6.73,12.4,80.1,126.5,NA,"alabama-birmingham",2022
3,"Ryan Davis","WR",5,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"alabama-birmingham",2022
1,"Bryce Young","QB",12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,"H-6","alabama",2022
2,"Jalen Milroe","QB",8,31,53,58.5,297,5,9.4,3,5.7,5.6,4.94,9.6,37.1,125.4,"","alabama",2022
3,"Ty Simpson","QB",4,4,5,80,35,0,0,0,0,7,7,8.8,8.8,138.8,"","alabama",2022
1,"Chase Brice","QB",12,219,349,62.8,2921,27,7.7,6,1.7,8.4,9.14,13.3,243.4,155.1,NA,"appalachian-state",2022
2,"Ryan Burger","QB",1,4,6,66.7,40,0,0,0,0,6.7,6.67,10,40,122.7,NA,"appalachian-state",2022
3,"Brady McBride","QB",1,2,3,66.7,33,0,0,0,0,11,11,16.5,33,159.1,NA,"appalachian-state",2022
4,"Dashaun Davis","WR",12,1,1,100,17,1,100,0,0,17,37,17,1.4,572.8,NA,"appalachian-state",2022
1,"Emory Jones","QB",8,125,199,62.8,1533,7,3.5,4,2,7.7,7.5,12.3,191.6,135.1,NA,"arizona-state",2022
2,"Trenton Bourguet","QB",7,145,203,71.4,1490,11,5.4,5,2.5,7.3,7.32,10.3,212.9,146,NA,"arizona-state",2022
1,"Jayden De Laura","QB",12,272,435,62.5,3685,25,5.7,13,3,8.5,8.28,13.5,307.1,146.7,NA,"arizona",2022
2,"Noah Fifita","QB",3,9,19,47.4,128,1,5.3,0,0,6.7,7.79,14.2,42.7,121.3,NA,"arizona",2022
3,"Tetairoa McMillan","WR",12,2,2,100,8,0,0,0,0,4,4,4,0.7,133.6,NA,"arizona",2022
4,"Jamarye Joiner","WR",5,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"arizona",2022
1,"James Blackman","QB",11,223,347,64.3,2471,14,4,3,0.9,7.1,7.54,11.1,224.6,135.7,NA,"arkansas-state",2022
2,"AJ Mayer","QB",9,19,39,48.7,214,2,5.1,1,2.6,5.5,5.36,11.3,23.8,106.6,NA,"arkansas-state",2022
3,"Jaxon Dailey","QB",3,5,10,50,34,0,0,1,10,3.4,-1.1,6.8,11.3,58.6,NA,"arkansas-state",2022
1,"K.J. Jefferson","QB",11,204,300,68,2636,24,8,5,1.7,8.8,9.64,12.9,239.6,164.9,NA,"arkansas",2022
2,"Malik Hornsby","QB",8,13,27,48.1,268,1,3.7,2,7.4,9.9,7.33,20.6,33.5,128.9,NA,"arkansas",2022
3,"Cade Fortin","QB",3,14,29,48.3,135,1,3.4,0,0,4.7,5.34,9.6,45,98.8,NA,"arkansas",2022
1,"Cade Ballard","QB",10,20,46,43.5,363,2,4.3,2,4.3,7.9,6.8,18.2,36.3,115.4,NA,"army",2022
2,"Tyhier Tyler","QB",11,8,18,44.4,301,2,11.1,1,5.6,16.7,16.44,37.6,27.4,210.5,NA,"army",2022
3,"Jemel Jones","QB",8,13,38,34.2,250,1,2.6,1,2.6,6.6,5.92,19.2,31.3,92.9,NA,"army",2022
4,"Tyrell Robinson","RB",5,1,1,100,6,0,0,0,0,6,6,6,1.2,150.4,NA,"army",2022
5,"Bryson Daily","QB",4,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"army",2022
1,"Robby Ashford","QB",12,123,250,49.2,1613,7,2.8,7,2.8,6.5,5.75,13.1,134.4,107,NA,"auburn",2022
2,"TJ Finley","QB",4,33,53,62.3,431,1,1.9,4,7.5,8.1,5.11,13.1,107.8,121.7,NA,"auburn",2022
3,"Jarquez Hunter","RB",12,1,1,100,20,1,100,0,0,20,40,20,1.7,598,NA,"auburn",2022
4,"Holden Geriner","QB",1,2,3,66.7,8,0,0,0,0,2.7,2.67,4,8,89.1,NA,"auburn",2022
5,"Koy Moore","WR",12,0,1,0,0,0,0,1,100,0,-45,NA,0,-200,NA,"auburn",2022
1,"John Paddock","QB",12,286,480,59.6,2719,18,3.8,14,2.9,5.7,5.1,9.5,226.6,113.7,NA,"ball-state",2022
2,"Kiael Kelly","QB",1,1,1,100,23,0,0,0,0,23,23,23,23,293.2,NA,"ball-state",2022
1,"Blake Shapen","QB",13,233,368,63.3,2790,18,4.9,10,2.7,7.6,7.34,12,214.6,137.7,NA,"baylor",2022
2,"Kyron Drones","QB",5,14,23,60.9,219,1,4.3,1,4.3,9.5,8.43,15.6,43.8,146.5,NA,"baylor",2022
3,"Jordan Nabors","WR",9,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"baylor",2022
1,"Taylen Green","QB",13,166,271,61.3,2042,14,5.2,6,2.2,7.5,7.57,12.3,157.1,137.2,NA,"boise-state",2022
2,"Hank Bachmeier","QB",4,51,94,54.3,497,6,6.4,3,3.2,5.3,5.13,9.7,124.3,113.3,NA,"boise-state",2022
3,"Sam Vidlak","QB",3,9,14,64.3,86,0,0,0,0,6.1,6.14,9.6,28.7,115.9,NA,"boise-state",2022
4,"Maddux Madsen","QB",1,3,4,75,43,0,0,0,0,10.8,10.75,14.3,43,165.3,NA,"boise-state",2022
1,"Phil Jurkovec","QB",8,147,247,59.5,1711,11,4.5,8,3.2,6.9,6.36,11.6,213.9,125.9,NA,"boston-college",2022
2,"Emmett Morehead","QB",10,115,192,59.9,1254,10,5.2,6,3.1,6.5,6.17,10.9,125.4,125.7,NA,"boston-college",2022
1,"Matt McDonald","QB",12,231,378,61.1,2654,22,5.8,9,2.4,7,7.11,11.5,221.2,134.5,NA,"bowling-green-state",2022
2,"Camden Orth","QB",10,34,57,59.6,382,3,5.3,2,3.5,6.7,6.18,11.2,38.2,126.3,NA,"bowling-green-state",2022
3,"CJ Lewis","WR",12,1,2,50,15,0,0,0,0,7.5,7.5,15,1.3,113,NA,"bowling-green-state",2022
4,"Harold Fannin Jr.","TE",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"bowling-green-state",2022
1,"Jaren Hall","QB",12,248,376,66,3171,31,8.2,6,1.6,8.4,9.36,12.8,264.3,160.8,NA,"brigham-young",2022
2,"Sol-Jay Maiava-Peters","QB",1,7,12,58.3,47,0,0,1,8.3,3.9,0.17,6.7,47,74.6,NA,"brigham-young",2022
3,"Chase Roberts","WR",11,1,1,100,22,1,100,0,0,22,42,22,2,614.8,NA,"brigham-young",2022
4,"Keanu Hill","WR",13,1,1,100,6,0,0,0,0,6,6,6,0.5,150.4,NA,"brigham-young",2022
5,"Jacob Conover","QB",3,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"brigham-young",2022
1,"Cole Snyder","QB",13,271,461,58.8,3030,18,3.9,8,1.7,6.6,6.57,11.2,233.1,123.4,NA,"buffalo",2022
2,"Quian Williams","WR",13,1,1,100,15,0,0,0,0,15,15,15,1.2,226,NA,"buffalo",2022
3,"Ron Cook Jr.","RB",10,1,1,100,14,0,0,0,0,14,14,14,1.4,217.6,NA,"buffalo",2022
1,"Jack Plummer","QB",12,282,451,62.5,3119,21,4.7,9,2,6.9,6.95,11.1,259.9,132,NA,"california",2022
2,"Kai Millner","QB",3,9,15,60,121,2,13.3,0,0,8.1,10.73,13.4,40.3,171.8,NA,"california",2022
1,"John Rhys Plumlee","QB",13,218,346,63,2586,14,4,8,2.3,7.5,7.24,11.9,198.9,134.5,NA,"central-florida",2022
2,"Mikey Keene","QB",4,60,83,72.3,647,6,7.2,1,1.2,7.8,8.7,10.8,161.8,159.2,NA,"central-florida",2022
3,"Thomas Castellanos","QB",5,9,16,56.3,75,0,0,0,0,4.7,4.69,8.3,15,95.6,NA,"central-florida",2022
4,"R.J. Harvey","RB",13,2,2,100,65,1,50,0,0,32.5,42.5,32.5,5,538,NA,"central-florida",2022
5,"Isaiah Bowser","RB",14,2,2,100,4,1,50,0,0,2,12,2,0.3,281.8,NA,"central-florida",2022
6,"Ryan O'Keefe","WR",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"central-florida",2022
1,"Daniel Richardson","QB",12,179,318,56.3,1988,15,4.7,5,1.6,6.3,6.49,11.1,165.7,121.2,NA,"central-michigan",2022
2,"Jase Bauer","QB",6,35,59,59.3,435,1,1.7,5,8.5,7.4,3.9,12.4,72.5,109.9,NA,"central-michigan",2022
3,"Bert Emanuel Jr.","QB",4,4,8,50,54,0,0,0,0,6.8,6.75,13.5,13.5,106.7,NA,"central-michigan",2022
4,"Luke Elzinga","P",12,1,1,100,20,0,0,0,0,20,20,20,1.7,268,NA,"central-michigan",2022
1,"Chris Reynolds","QB",10,201,316,63.6,2540,22,7,11,3.5,8,7.86,12.6,254,147.1,NA,"charlotte",2022
2,"Xavier Williams","QB",6,34,67,50.7,420,2,3,2,3,6.3,5.52,12.4,70,107.3,NA,"charlotte",2022
3,"James Foster","QB",6,12,28,42.9,170,2,7.1,1,3.6,6.1,5.89,14.2,28.3,110.3,NA,"charlotte",2022
4,"Trexler Ivey","QB",1,9,16,56.3,101,1,6.3,0,0,6.3,7.56,11.2,101,129.9,NA,"charlotte",2022
5,"Bailey Rice","P",12,1,1,100,21,0,0,0,0,21,21,21,1.8,276.4,NA,"charlotte",2022
6,"Grant Dubose","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"charlotte",2022
1,"Ben Bryant","QB",11,213,348,61.2,2731,21,6,7,2,7.8,8.15,12.8,248.3,143,NA,"cincinnati",2022
2,"Evan Prater","QB",9,35,66,53,423,1,1.5,1,1.5,6.4,6.03,12.1,47,108.8,NA,"cincinnati",2022
1,"D.J. Uiagalelei","QB",13,229,370,61.9,2521,22,5.9,7,1.9,6.8,7.15,11,193.9,135,NA,"clemson",2022
2,"Cade Klubnik","QB",10,61,100,61,697,2,2,3,3,7,6.02,11.4,69.7,120.1,NA,"clemson",2022
3,"Phil Mafah","RB",14,1,1,100,19,0,0,0,0,19,19,19,1.4,259.6,NA,"clemson",2022
4,"Hunter Johnson","QB",2,6,6,100,10,0,0,0,0,1.7,1.67,1.7,5,114,NA,"clemson",2022
5,"Antonio Williams","WR",14,1,1,100,6,0,0,0,0,6,6,6,0.4,150.4,NA,"clemson",2022
6,"Davis Allen","TE",14,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"clemson",2022
1,"Grayson McCall","QB",11,207,297,69.7,2700,24,8.1,2,0.7,9.1,10.4,13,245.5,171.4,NA,"coastal-carolina",2022
2,"Jarrett Guest","QB",7,25,54,46.3,438,2,3.7,4,7.4,8.1,5.52,17.5,62.6,111.8,NA,"coastal-carolina",2022
3,"Bryce Carpenter","QB",12,4,6,66.7,53,1,16.7,0,0,8.8,12.17,13.3,4.4,195.9,NA,"coastal-carolina",2022
4,"Bryce Archie","QB",2,1,4,25,9,0,0,0,0,2.3,2.25,9,4.5,43.9,NA,"coastal-carolina",2022
1,"Clay Millen","QB",10,169,234,72.2,1910,10,4.3,6,2.6,8.2,7.86,11.3,191,149.8,NA,"colorado-state",2022
2,"Brayden Fowler-Nicolosi","QB",3,17,37,45.9,194,1,2.7,2,5.4,5.2,3.35,11.4,64.7,88.1,NA,"colorado-state",2022
3,"Giles Pooler","QB",2,11,32,34.4,144,0,0,1,3.1,4.5,3.09,13.1,72,65.9,NA,"colorado-state",2022
4,"Jackson Stratton","QB",4,4,17,23.5,78,1,5.9,2,11.8,4.6,0.47,19.5,19.5,58,NA,"colorado-state",2022
5,"Tory Horton","WR",12,2,2,100,35,0,0,0,0,17.5,17.5,17.5,2.9,247,NA,"colorado-state",2022
1,"JT Shrout","QB",9,90,203,44.3,1220,7,3.4,8,3.9,6,4.93,13.6,135.6,98.3,NA,"colorado",2022
2,"Owen McCown","QB",4,57,100,57,600,2,2,2,2,6,5.5,10.5,150,110,NA,"colorado",2022
3,"Maddox Kopp","QB",2,15,28,53.6,123,1,3.6,0,0,4.4,5.11,8.2,61.5,102.3,NA,"colorado",2022
4,"Brendon Lewis","QB",2,15,24,62.5,92,0,0,0,0,3.8,3.83,6.1,46,94.7,NA,"colorado",2022
5,"Jordyn Tyson","WR",9,1,1,100,37,0,0,0,0,37,37,37,4.1,410.8,NA,"colorado",2022
6,"Drew Carter","QB",3,1,4,25,3,0,0,0,0,0.8,0.75,3,1,31.3,NA,"colorado",2022
1,"Zion Turner","QB",13,149,258,57.8,1407,9,3.5,10,3.9,5.5,4.41,9.4,108.2,107.3,NA,"connecticut",2022
2,"Cale Millen","QB",12,6,15,40,31,1,6.7,0,0,2.1,3.4,5.2,2.6,79.4,NA,"connecticut",2022
3,"Ta'Quan Roberson","QB",1,1,2,50,10,0,0,0,0,5,5,10,10,92,NA,"connecticut",2022
4,"Devontae Houston","RB",10,1,1,100,7,0,0,0,0,7,7,7,0.7,158.8,NA,"connecticut",2022
1,"Riley Leonard","QB",13,250,392,63.8,2967,20,5.1,6,1.5,7.6,7.9,11.9,228.2,141.1,NA,"duke",2022
2,"Henry Belvin IV","QB",1,5,6,83.3,43,0,0,0,0,7.2,7.17,8.6,43,143.5,NA,"duke",2022
1,"Holton Ahlers","QB",13,315,469,67.2,3708,28,6,5,1.1,7.9,8.62,11.8,285.2,151.1,NA,"east-carolina",2022
2,"Mason Garcia","QB",3,7,12,58.3,54,0,0,0,0,4.5,4.5,7.7,18,96.1,NA,"east-carolina",2022
3,"C.J. Johnson","WR",13,1,1,100,14,0,0,0,0,14,14,14,1.1,217.6,NA,"east-carolina",2022
1,"Taylor Powell","QB",9,174,269,64.7,2111,16,5.9,8,3,7.8,7.7,12.1,234.6,144.3,NA,"eastern-michigan",2022
2,"Austin Smith","QB",9,68,119,57.1,774,6,5,4,3.4,6.5,6,11.4,86,121.7,NA,"eastern-michigan",2022
3,"Dylan Drummond","WR",10,1,1,100,23,0,0,0,0,23,23,23,2.3,293.2,NA,"eastern-michigan",2022
4,"Samson Evans","RB",12,1,1,100,3,1,100,0,0,3,23,3,0.3,455.2,NA,"eastern-michigan",2022
5,"Mitchell Tomasek","P",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"eastern-michigan",2022
1,"N'Kosi Perry","QB",12,215,371,58,2712,25,6.7,5,1.3,7.3,8.05,12.6,226,138.9,NA,"florida-atlantic",2022
2,"Willie Taggart Jr.","QB",11,2,7,28.6,14,0,0,0,0,2,2,7,1.3,45.4,NA,"florida-atlantic",2022
1,"Grayson James","QB",11,210,358,58.7,1969,11,3.1,11,3.1,5.5,4.73,9.4,179,108.9,NA,"florida-international",2022
2,"Haden Carlson","QB",8,47,88,53.4,553,4,4.5,5,5.7,6.3,4.64,11.8,69.1,109.8,NA,"florida-international",2022
3,"Gunnar Holmberg","QB",3,14,20,70,103,1,5,0,0,5.2,6.15,7.4,34.3,129.8,NA,"florida-international",2022
1,"Jordan Travis","QB",13,226,353,64,3214,24,6.8,5,1.4,9.1,9.83,14.2,247.2,160.1,NA,"florida-state",2022
2,"Tate Rodemaker","QB",7,18,31,58.1,254,2,6.5,2,6.5,8.2,6.58,14.1,36.3,135.3,NA,"florida-state",2022
3,"AJ Duffy","QB",3,2,7,28.6,26,1,14.3,0,0,3.7,6.57,13,8.7,106.9,NA,"florida-state",2022
4,"Gino English","QB",1,2,2,100,16,0,0,0,0,8,8,8,16,167.2,NA,"florida-state",2022
5,"Wyatt Rector","TE",13,1,1,100,2,1,100,0,0,2,22,2,0.2,446.8,NA,"florida-state",2022
1,"Anthony Richardson","QB",12,176,327,53.8,2549,17,5.2,9,2.8,7.8,7.6,14.5,212.4,131,NA,"florida",2022
2,"Jalen Kitna","QB",4,10,14,71.4,181,1,7.1,0,0,12.9,14.36,18.1,45.3,203.6,NA,"florida",2022
3,"Jack Miller III","QB",1,13,22,59.1,180,0,0,0,0,8.2,8.18,13.8,180,127.8,NA,"florida",2022
4,"Montrell Johnson","RB",13,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"florida",2022
1,"Jake Haener","QB",10,252,350,72,2896,20,5.7,3,0.9,8.3,9.03,11.5,289.6,158.6,NA,"fresno-state",2022
2,"Logan Fife","QB",11,84,120,70,892,2,1.7,6,5,7.4,5.52,10.6,81.1,127.9,NA,"fresno-state",2022
1,"Kyle Vantrease","QB",13,371,604,61.4,4253,27,4.5,16,2.6,7,6.74,11.5,327.2,130,NA,"georgia-southern",2022
2,"OJ Arnold","RB",13,1,2,50,32,1,50,0,0,16,26,32,2.5,349.4,NA,"georgia-southern",2022
3,"Dalen Cobb","WR",6,1,2,50,3,0,0,0,0,1.5,1.5,3,0.5,62.6,NA,"georgia-southern",2022
4,"Connor Cigelske","QB",2,1,3,33.3,1,0,0,0,0,0.3,0.33,1,0.5,36.1,NA,"georgia-southern",2022
1,"Darren Grainger","QB",12,174,297,58.6,2443,18,6.1,7,2.4,8.2,8.38,14,203.6,143,NA,"georgia-state",2022
1,"Jeff Sims","QB",7,110,188,58.5,1115,5,2.7,3,1.6,5.9,5.74,10.1,159.3,113.9,NA,"georgia-tech",2022
2,"Zach Gibson","QB",6,57,104,54.8,589,1,1,2,1.9,5.7,4.99,10.3,98.2,101.7,NA,"georgia-tech",2022
3,"Zach Pyron","QB",3,49,82,59.8,565,3,3.7,3,3.7,6.9,5.98,11.5,188.3,122.4,NA,"georgia-tech",2022
4,"Dontae Smith","RB",12,1,1,100,24,1,100,0,0,24,44,24,2,631.6,NA,"georgia-tech",2022
5,"Taisun Phommachanh","QB",2,2,5,40,13,0,0,1,20,2.6,-6.4,6.5,6.5,21.8,NA,"georgia-tech",2022
6,"Nate McCollum","WR",11,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"georgia-tech",2022
1,"Stetson Bennett","QB",15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,"H-4","georgia",2022
2,"Carson Beck","QB",7,26,35,74.3,310,4,11.4,0,0,8.9,11.14,11.9,44.3,186.4,"","georgia",2022
3,"Brock Vandagriff","QB",3,0,2,0,0,0,0,0,0,0,0,NA,0,0,"","georgia",2022
1,"Brayden Schager","QB",12,221,400,55.3,2348,13,3.3,10,2.5,5.9,5.4,10.6,195.7,110.3,NA,"hawaii",2022
2,"Joey Yellen","QB",4,40,87,46,324,0,0,2,2.3,3.7,2.69,8.1,81,72.7,NA,"hawaii",2022
3,"Dior Scott","WR",10,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"hawaii",2022
4,"Nasjzae Bryant","RB",10,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"hawaii",2022
1,"Clayton Tune","QB",13,334,496,67.3,4074,40,8.1,10,2,8.2,8.92,12.2,313.4,158.9,NA,"houston",2022
2,"Lucas Coley","QB",3,3,3,100,8,0,0,0,0,2.7,2.67,2.7,2.7,122.4,NA,"houston",2022
1,"Tommy Devito","QB",13,257,369,69.6,2650,15,4.1,4,1.1,7.2,7.51,10.3,203.8,141.2,NA,"illinois",2022
2,"Artur Sitkowski","QB",3,18,25,72,103,0,0,1,4,4.1,2.32,5.7,34.3,98.6,NA,"illinois",2022
3,"Chase Brown","RB",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"illinois",2022
1,"Connor Bazelak","QB",10,235,426,55.2,2312,13,3.1,10,2.3,5.4,4.98,9.8,231.2,106.1,NA,"indiana",2022
2,"Dexter Williams II","QB",4,13,38,34.2,184,2,5.3,2,5.3,4.8,3.53,14.2,46,81.7,NA,"indiana",2022
3,"Jack Tuttle","QB",1,9,12,75,82,1,8.3,0,0,6.8,8.5,9.1,82,159.9,NA,"indiana",2022
4,"Donaven McCulley","WR",12,1,1,100,23,0,0,0,0,23,23,23,1.9,293.2,NA,"indiana",2022
5,"Brendan Sorsby","QB",1,3,6,50,8,0,0,1,16.7,1.3,-6.17,2.7,8,27.9,NA,"indiana",2022
1,"Hunter Dekkers","QB",12,302,457,66.1,3044,19,4.2,14,3.1,6.7,6.11,10.1,253.7,129.6,NA,"iowa-state",2022
2,"Rocco Becht","QB",3,7,15,46.7,65,0,0,1,6.7,4.3,1.33,9.3,21.7,69.7,NA,"iowa-state",2022
3,"Ashton Cook","QB",1,4,4,100,32,0,0,0,0,8,8,8,32,167.2,NA,"iowa-state",2022
4,"Jaylin Noel","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"iowa-state",2022
5,"Xavier Hutchinson","WR",12,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,"iowa-state",2022
1,"Spencer Petras","QB",12,157,281,55.9,1725,5,1.8,5,1.8,6.1,5.69,11,143.8,109.8,NA,"iowa",2022
2,"Alex Padilla","QB",2,21,43,48.8,173,1,2.3,2,4.7,4,2.4,8.2,86.5,81,NA,"iowa",2022
3,"Joey Labas","QB",1,14,24,58.3,139,1,4.2,0,0,5.8,6.63,9.9,139,120.7,NA,"iowa",2022
